time, steering, throttle
1.0900e+01,0.0000e+00,0.0000e+00
1.1000e+01,0.0000e+00,0.0000e+00
1.1100e+01,0.0000e+00,0.0000e+00
1.1201e+01,0.0000e+00,0.0000e+00
1.1300e+01,0.0000e+00,0.0000e+00
1.1400e+01,0.0000e+00,0.0000e+00
1.1500e+01,0.0000e+00,0.0000e+00
1.1600e+01,0.0000e+00,0.0000e+00
1.1700e+01,0.0000e+00,0.0000e+00
1.1800e+01,0.0000e+00,0.0000e+00
1.1900e+01,0.0000e+00,0.0000e+00
1.2000e+01,0.0000e+00,0.0000e+00
1.2100e+01,0.0000e+00,0.0000e+00
1.2200e+01,0.0000e+00,0.0000e+00
1.2300e+01,0.0000e+00,0.0000e+00
1.2400e+01,0.0000e+00,0.0000e+00
1.2500e+01,0.0000e+00,0.0000e+00
1.2600e+01,0.0000e+00,0.0000e+00
1.2700e+01,0.0000e+00,0.0000e+00
1.2801e+01,0.0000e+00,0.0000e+00
1.2900e+01,0.0000e+00,0.0000e+00
1.3000e+01,0.0000e+00,0.0000e+00
1.3100e+01,0.0000e+00,0.0000e+00
1.3200e+01,0.0000e+00,0.0000e+00
1.3300e+01,0.0000e+00,0.0000e+00
1.3400e+01,0.0000e+00,0.0000e+00
1.3500e+01,0.0000e+00,0.0000e+00
1.3600e+01,0.0000e+00,0.0000e+00
1.3700e+01,0.0000e+00,0.0000e+00
1.3800e+01,0.0000e+00,0.0000e+00
1.3900e+01,0.0000e+00,0.0000e+00
1.4000e+01,0.0000e+00,0.0000e+00
1.4100e+01,0.0000e+00,0.0000e+00
1.4200e+01,0.0000e+00,0.0000e+00
1.4300e+01,0.0000e+00,0.0000e+00
1.4400e+01,0.0000e+00,0.0000e+00
1.4500e+01,0.0000e+00,0.0000e+00
1.4600e+01,0.0000e+00,0.0000e+00
1.4700e+01,0.0000e+00,0.0000e+00
1.4800e+01,0.0000e+00,0.0000e+00
1.4900e+01,0.0000e+00,0.0000e+00
1.5000e+01,0.0000e+00,0.0000e+00
1.5100e+01,0.0000e+00,0.0000e+00
1.5200e+01,0.0000e+00,0.0000e+00
1.5300e+01,0.0000e+00,0.0000e+00
