time, steering, throttle
9.9998e+00,0.0000e+00,2.8133e-05
1.0100e+01,0.0000e+00,0.0000e+00
1.0200e+01,0.0000e+00,0.0000e+00
1.0300e+01,0.0000e+00,0.0000e+00
1.0400e+01,0.0000e+00,0.0000e+00
1.0500e+01,0.0000e+00,0.0000e+00
1.0600e+01,0.0000e+00,0.0000e+00
1.0700e+01,0.0000e+00,0.0000e+00
1.0800e+01,0.0000e+00,0.0000e+00
1.0900e+01,0.0000e+00,0.0000e+00
1.1000e+01,0.0000e+00,0.0000e+00
1.1100e+01,0.0000e+00,0.0000e+00
1.1200e+01,0.0000e+00,0.0000e+00
1.1304e+01,0.0000e+00,0.0000e+00
1.1400e+01,0.0000e+00,0.0000e+00
1.1500e+01,0.0000e+00,0.0000e+00
1.1600e+01,0.0000e+00,0.0000e+00
1.1700e+01,0.0000e+00,0.0000e+00
1.1800e+01,0.0000e+00,0.0000e+00
1.1909e+01,0.0000e+00,0.0000e+00
1.2000e+01,0.0000e+00,0.0000e+00
1.2100e+01,0.0000e+00,0.0000e+00
1.2200e+01,0.0000e+00,0.0000e+00
1.2300e+01,0.0000e+00,0.0000e+00
1.2400e+01,0.0000e+00,0.0000e+00
1.2500e+01,0.0000e+00,0.0000e+00
1.2600e+01,0.0000e+00,0.0000e+00
1.2700e+01,0.0000e+00,0.0000e+00
1.2800e+01,0.0000e+00,0.0000e+00
1.2900e+01,0.0000e+00,0.0000e+00
1.3000e+01,0.0000e+00,0.0000e+00
1.3100e+01,0.0000e+00,0.0000e+00
1.3200e+01,0.0000e+00,0.0000e+00
1.3300e+01,0.0000e+00,0.0000e+00
1.3400e+01,0.0000e+00,0.0000e+00
1.3500e+01,0.0000e+00,0.0000e+00
1.3600e+01,0.0000e+00,0.0000e+00
1.3700e+01,0.0000e+00,0.0000e+00
1.3800e+01,0.0000e+00,0.0000e+00
1.3900e+01,0.0000e+00,0.0000e+00
1.4003e+01,0.0000e+00,0.0000e+00
1.4100e+01,0.0000e+00,0.0000e+00
1.4200e+01,0.0000e+00,0.0000e+00
